"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"4577","35.116942067","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","1294","35.116942067","Initial, DCID=f79ee338ca065983, PKN: 2, ACK, PADDING"
"4581","35.124783316","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","1294","35.124783316","Initial, DCID=f64f6fd7af1101e0, PKN: 2, ACK, PADDING"
"4594","35.156872551","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","101","35.156872551","Handshake, DCID=f79ee338ca065983"
"4596","35.165046038","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","101","35.165046038","Handshake, DCID=f64f6fd7af1101e0"
"4602","35.197235365","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","101","35.197235365","Handshake, DCID=f79ee338ca065983"
"4603","35.213524252","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","101","35.213524252","Handshake, DCID=f64f6fd7af1101e0"
"4622","35.225782603","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","103","35.225782603","Handshake, DCID=f64f6fd7af1101e0"
"4623","35.226065549","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","103","35.226065549","Handshake, DCID=f64f6fd7af1101e0"
"4624","35.226159991","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","1294","35.226159991","Initial, DCID=c29aee31ae6512ca, PKN: 2, ACK, PADDING"
"4625","35.226208977","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4025:401::9b","QUIC","103","35.226208977","Handshake, DCID=c29aee31ae6512ca"
"4626","35.226325598","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","103","35.226325598","Handshake, DCID=f79ee338ca065983"
"4627","35.226641915","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","103","35.226641915","Handshake, DCID=f79ee338ca065983"
"4628","35.226726297","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","107","35.226726297","Handshake, DCID=f79ee338ca065983"
"4629","35.230113066","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","147","35.230113066","Handshake, DCID=f64f6fd7af1101e0"
"4630","35.230294717","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","134","35.230294717","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4632","35.231558548","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","147","35.231558548","Handshake, DCID=f79ee338ca065983"
"4633","35.231700873","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","134","35.231700873","Protected Payload (KP0), DCID=f79ee338ca065983"
"4634","35.231951967","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","981","35.231951967","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4635","35.232032152","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","224","35.232032152","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4636","35.232251269","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","1290","35.232251269","Protected Payload (KP0), DCID=f79ee338ca065983"
"4637","35.232264038","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","288","35.232264038","Protected Payload (KP0), DCID=f79ee338ca065983"
"4639","35.233962981","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","1065","35.233962981","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4644","35.235795144","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","231","35.235795144","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
"4645","35.235869863","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","226","35.235869863","Protected Payload (KP0), DCID=f79ee338ca065983"
"4646","35.235923937","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:808::200e","QUIC","1294","35.235923937","Protected Payload (KP0), DCID=f79ee338ca065983"
"4649","35.236828080","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:809::2003","QUIC","1067","35.236828080","Protected Payload (KP0), DCID=f64f6fd7af1101e0"
